Wind Speed (avg);Wind Speed (max);Wind Speed (min);Active Power (avg);Active Power (max);Active Power (min)
10.70;13.70;7.80;2039.100;2519.100;1636.900
11.10;14.30;8.60;2097.400;2457.900;1648.700
10.30;13.90;7.20;1806.400;2417.900;1274.800
9.90;13.70;6.70;1653.100;2236.000;1169.000
9.70;14.60;5.90;1589.800;2362.400;948.600
10.00;15.00;6.20;1667.400;2280.900;1021.600
9.50;14.10;5.40;1557.600;2462.100;379.700
8.70;12.00;5.90;1230.400;2006.700;677.100
8.00;11.70;4.70;995.300;1643.300;340.900
10.30;14.50;6.50;1779.000;2451.700;1100.100
9.60;14.80;5.70;1569.200;2795.100;905.900
8.60;14.90;4.60;1227.200;2627.800;340.900
8.00;13.30;4.10;1000.600;1975.900;253.100
8.00;12.70;4.50;925.200;1938.500;304.300
9.80;14.50;6.30;1551.300;2804.100;900.600
10.00;14.40;6.50;1675.400;2593.100;1095.800
7.70;15.50;3.90;910.000;2463.300;181.600
7.60;11.20;4.60;834.100;1720.700;369.400
9.30;13.90;5.70;1394.100;2262.400;485.200
8.20;11.80;4.20;990.700;1578.500;238.200
7.80;11.50;4.20;882.900;1589.000;351.600
8.10;11.50;5.20;964.500;1314.300;508.300
7.70;11.00;4.40;839.000;1530.000;334.100
8.10;11.30;5.60;983.500;1541.200;499.500
7.80;11.30;4.40;945.700;1618.400;283.100
8.00;12.90;4.90;1009.800;1889.400;429.600
8.50;13.20;5.30;1267.400;2533.400;535.500
8.90;13.20;5.40;1362.200;2217.800;438.100
8.50;12.20;4.70;1215.600;2381.100;452.000
8.80;13.40;5.10;1266.900;2164.900;322.200
9.50;13.60;6.70;1499.100;2292.800;783.400
9.10;12.40;6.70;1387.700;2076.900;921.900
8.40;10.70;6.00;1114.400;1550.700;647.100
7.50;10.60;5.20;717.300;1076.200;289.000
6.80;9.10;4.90;530.300;899.800;330.700
7.50;9.90;5.10;735.200;1095.800;423.100
8.00;10.40;6.20;928.200;1291.700;540.800
8.00;10.20;5.70;848.800;1147.800;302.200
7.10;10.10;4.30;666.000;1111.400;278.900
8.30;11.20;4.80;1018.600;1624.500;284.900
8.80;11.70;5.50;1256.300;1692.400;577.300
9.70;12.80;7.30;1646.700;2120.100;1256.200
9.70;12.80;6.10;1543.100;1961.100;1238.200
8.70;11.40;6.00;1171.800;1682.800;784.800
8.30;10.50;6.20;930.400;1236.400;604.000
8.40;10.80;5.80;956.300;1226.400;612.600
8.80;11.30;6.20;1060.100;1381.700;601.900
8.90;11.10;6.60;1233.700;1478.400;975.100
8.80;10.90;6.40;1143.200;1421.300;846.600
8.30;10.30;5.40;998.200;1293.200;737.800
7.00;9.40;5.20;575.600;961.700;350.300
6.50;8.10;4.90;465.400;644.200;343.900
6.40;8.10;4.70;445.900;602.500;315.800
5.80;8.30;3.50;328.100;537.800;-29.700
5.80;8.20;3.20;348.900;576.800;185.800
5.80;7.80;4.10;331.500;529.600;196.900
5.70;8.30;3.90;302.200;522.100;174.500
5.80;7.90;3.80;336.700;596.200;216.200
5.30;7.10;3.80;248.800;462.600;119.300
4.80;6.20;3.60;160.900;239.200;108.300
5.00;6.60;3.70;200.100;280.400;113.900
4.90;6.50;3.70;182.600;241.500;95.800
4.80;6.20;3.40;165.100;231.300;58.900
4.40;6.10;1.20;104.400;193.300;-9.200
4.60;6.80;2.20;122.200;253.400;-0.200
5.20;7.20;2.90;199.300;332.900;49.900
4.90;6.50;3.20;183.500;306.700;81.100
4.90;6.80;3.00;201.700;326.300;49.900
5.40;7.00;3.00;256.300;379.200;85.800
5.10;7.30;3.00;212.600;433.400;70.900
5.30;7.80;3.90;236.700;340.100;140.800
5.70;7.90;3.80;282.200;549.100;150.600
6.00;8.20;4.00;340.300;515.500;144.000
5.40;8.00;2.50;253.800;551.700;65.100
4.50;6.40;2.90;109.300;228.000;20.400
3.90;5.80;1.50;38.600;133.200;-29.800
4.20;5.60;1.50;59.000;151.100;-39.700
3.70;5.30;1.20;24.100;105.700;-19.700
3.20;5.00;0.90;-5.900;87.100;-36.500
3.20;4.20;1.70;-17.000;-14.400;-25.400
3.10;4.60;1.60;-16.800;-14.800;-24.700
3.50;4.60;2.30;-16.800;-16.500;-23.600
3.30;4.50;1.60;-16.500;-16.400;-16.700
2.80;4.40;1.50;-16.700;-16.400;-23.500
3.60;5.00;1.80;-16.400;-16.000;-16.800
3.70;5.00;2.00;16.700;165.100;-103.500
3.30;4.70;1.20;-0.600;83.400;-24.700
3.90;5.00;2.50;24.300;88.900;-19.400
3.40;5.00;1.10;4.900;67.600;-37.200
3.50;4.60;1.10;16.000;92.100;-28.700
3.60;5.10;0.70;9.100;58.400;-30.500
2.60;5.00;0.60;-17.100;105.100;-102.200
2.60;4.20;1.10;-16.300;-16.300;-16.500
2.90;3.90;1.50;-17.100;-16.300;-23.700
2.80;4.10;1.30;-16.500;-16.300;-23.800
2.80;3.70;1.30;-16.300;-16.300;-16.500
2.40;3.50;1.00;-16.400;-16.300;-16.500
2.00;3.10;0.70;-16.400;-16.400;-16.600
1.20;2.30;0.30;-16.400;-16.400;-16.600
1.60;2.90;0.70;-16.400;-16.400;-16.500
1.80;2.90;1.10;-16.400;-16.400;-16.500
1.90;3.00;1.00;-16.400;-16.300;-16.500
2.30;3.10;1.20;-16.400;-16.300;-16.600
2.50;3.30;1.40;-16.400;-16.400;-16.600
2.50;3.80;1.50;-15.900;-15.700;-16.600
2.90;3.50;1.50;-15.700;-15.700;-15.800
2.90;3.60;1.60;-16.200;-15.600;-23.500
2.80;3.90;1.50;-15.700;-15.600;-15.900
3.10;4.10;1.70;-16.600;-15.700;-24.200
3.40;4.30;2.30;-16.700;-16.100;-23.400
3.30;4.40;1.80;-16.400;-16.100;-24.400
3.60;5.00;1.60;-6.100;143.400;-101.000
3.20;4.30;0.60;-11.900;53.300;-30.800
3.10;3.90;2.30;-16.700;-16.700;-16.900
2.90;3.80;1.90;-16.800;-16.800;-17.000
2.90;3.90;1.40;-16.900;-16.400;-17.000
2.90;3.60;1.70;-15.700;-15.600;-16.600
2.60;3.70;1.50;-15.700;-15.600;-15.800
2.40;3.00;1.30;-15.700;-15.500;-15.800
2.90;3.70;2.00;-16.500;-15.700;-24.100
3.00;4.10;2.10;-15.700;-15.600;-15.800
3.30;4.20;2.30;-15.700;-15.600;-15.800
3.50;4.40;1.80;-15.600;-15.200;-23.400
3.40;4.20;2.50;-15.200;-15.100;-15.300
3.30;4.10;2.30;-15.400;-15.200;-22.600
3.30;4.10;2.20;-15.200;-15.100;-15.300
3.50;4.40;2.20;-15.200;-15.200;-15.300
3.50;4.40;2.60;-15.200;-15.100;-15.300
2.90;3.90;1.20;-15.200;-15.100;-15.300
2.50;3.40;1.50;-15.200;-15.100;-15.300
2.30;3.10;1.20;-15.200;-15.100;-15.300
2.10;3.00;1.30;-15.200;-15.200;-15.300
2.20;3.10;1.40;-15.200;-15.200;-15.300
2.70;3.60;1.60;-15.200;-15.200;-15.300
3.30;4.60;2.00;-15.500;-15.200;-23.500
3.40;4.30;1.50;-15.400;-15.200;-23.500
2.90;3.80;1.90;-15.200;-15.100;-15.300
2.10;3.40;1.00;-15.200;-15.200;-15.400
2.00;2.90;0.90;-15.200;-15.200;-15.400
1.80;3.10;0.40;-15.200;-15.200;-15.400
2.00;2.90;1.00;-15.200;-15.200;-15.400
2.60;3.20;2.00;-15.300;-15.300;-15.400
2.70;3.30;2.10;-15.300;-15.200;-15.400
3.00;3.70;1.90;-15.900;-15.300;-24.600
